date,sise,trading
2010.07.22,4890 ,58899 
2010.07.23,4995 ,55152 
2010.07.26,5080 ,61397 
2010.07.27,5000 ,70631 
2010.07.28,4960 ,28595 
2010.07.29,4960 ,25574 
2010.07.30,4875 ,21799 
2010.08.02,4930 ,47152 
2010.08.03,4830 ,53139 
2010.08.04,4865 ,49395 
2010.08.05,4865 ,34823 
2010.08.06,4900 ,25563 
2010.08.09,4940 ,38029 
2010.08.10,4870 ,35156 
2010.08.11,4825 ,42608 
2010.08.12,4865 ,36514 
2010.08.13,4910 ,31244 
2010.08.16,4910 ,37090 
2010.08.17,4950 ,91683 
2010.08.18,5440 ,876334 
2010.08.19,5680 ,469748 
2010.08.20,5570 ,305821 
2010.08.23,6040 ,1140681 
2010.08.24,6000 ,444847 
2010.08.25,5480 ,775562 
2010.08.26,5500 ,287175 
2010.08.27,5300 ,244339 
2010.08.30,5490 ,182596 
2010.08.31,5500 ,225802 
2010.09.01,5800 ,660157 
2010.09.02,5850 ,225583 
2010.09.03,5720 ,135673 
2010.09.06,5750 ,111857 
2010.09.07,5580 ,156892 
2010.09.08,5600 ,68210 
2010.09.09,5700 ,99020 
2010.09.10,5510 ,165209 
2010.09.13,5400 ,178124 
2010.09.14,5750 ,323881 
2010.09.15,6000 ,838442 
2010.09.16,6150 ,528883 
2010.09.17,5990 ,198770 
2010.09.20,5950 ,95071 
2010.09.24,5900 ,96857 
2010.09.27,6050 ,165893 
2010.09.28,5950 ,235459 
2010.09.29,5800 ,177684 
2010.09.30,5810 ,133867 
2010.10.01,5850 ,97970 
2010.10.04,5770 ,154397 
2010.10.05,5760 ,116972 
2010.10.06,5780 ,85336 
2010.10.07,5960 ,143664 
2010.10.08,6030 ,272302 
2010.10.11,6000 ,196604 
2010.10.12,5930 ,85115 
2010.10.13,6120 ,349950 
2010.10.14,6090 ,297328 
2010.10.15,6080 ,224885 
2010.10.18,6120 ,293237 
2010.10.19,5920 ,197633 
2010.10.20,5950 ,248981 
2010.10.21,5850 ,122728 
2010.10.22,5900 ,127043 
2010.10.25,6210 ,547234 
2010.10.26,6410 ,506522 
2010.10.27,6430 ,455662 
2010.10.28,6280 ,161335 
2010.10.29,6250 ,156793 
2010.11.01,6360 ,240396 
2010.11.02,6310 ,267739 
2010.11.03,6310 ,195494 
2010.11.04,6550 ,511050 
2010.11.05,6450 ,224847 
2010.11.08,6230 ,236577 
2010.11.09,6070 ,265379 
2010.11.10,6120 ,126974 
2010.11.11,6060 ,148707 
2010.11.12,5740 ,312713 
2010.11.15,5850 ,164865 
2010.11.16,5660 ,99900 
2010.11.17,5410 ,199812 
2010.11.18,5510 ,95439 
2010.11.19,5730 ,90024 
2010.11.22,5710 ,90251 
2010.11.23,5570 ,61131 
2010.11.24,5480 ,125401 
2010.11.25,5510 ,38655 
2010.11.26,5330 ,120543 
2010.11.29,5200 ,70854 
2010.11.30,5270 ,69122 
2010.12.01,5260 ,54745 
2010.12.02,5250 ,66201 
2010.12.03,5270 ,79273 
2010.12.06,5210 ,76399 
2010.12.07,5120 ,99494 
2010.12.08,5060 ,57742 
2010.12.09,5100 ,44289 
2010.12.10,5200 ,41246 
2010.12.13,5170 ,48094 
2010.12.14,5300 ,58182 
2010.12.15,5310 ,27521 
2010.12.16,5270 ,52306 
2010.12.17,5330 ,40072 
2010.12.20,5090 ,91680 
2010.12.21,5180 ,52589 
2010.12.22,5110 ,54529 
2010.12.23,5110 ,34937 
2010.12.24,5080 ,49245 
2010.12.27,5040 ,43173 
2010.12.28,5000 ,66321 
2010.12.29,4965 ,40841 
2010.12.30,5140 ,37694 
2011.01.03,5230 ,57252 
2011.01.04,5220 ,61866 
2011.01.05,5180 ,74515 
2011.01.06,5080 ,84094 
2011.01.07,5120 ,70839 
2011.01.10,5080 ,55468 
2011.01.11,5020 ,63789 
2011.01.12,5020 ,100794 
2011.01.13,5000 ,66144 
2011.01.14,5060 ,84786 
2011.01.17,5010 ,61827 
2011.01.18,4965 ,70803 
2011.01.19,4990 ,59491 
2011.01.20,5220 ,122392 
2011.01.21,5100 ,107817 
2011.01.24,5100 ,140924 
2011.01.25,5230 ,194937 
2011.01.26,5290 ,197484 
2011.01.27,5360 ,89328 
2011.01.28,5310 ,69730 
2011.01.31,5120 ,90101 
2011.02.01,5310 ,92775 
2011.02.07,5300 ,68601 
2011.02.08,5300 ,48479 
2011.02.09,5420 ,167482 
2011.02.10,5360 ,271057 
2011.02.11,5300 ,86010 
2011.02.14,5310 ,161626 
2011.02.15,5220 ,52511 
2011.02.16,5220 ,70967 
2011.02.17,5210 ,69151 
2011.02.18,5250 ,38608 
2011.02.21,5260 ,64910 
2011.02.22,5130 ,84536 
2011.02.23,5100 ,89129 
2011.02.24,5070 ,81716 
2011.02.25,5090 ,23141 
2011.02.28,5030 ,95484 
2011.03.02,4980 ,44750 
2011.03.03,4985 ,38263 
2011.03.04,5010 ,45313 
2011.03.07,4980 ,50329 
2011.03.08,5020 ,34829 
2011.03.09,5050 ,125477 
2011.03.10,4985 ,29802 
2011.03.11,5000 ,59120 
2011.03.14,5750 ,369800 
2011.03.15,6610 ,6700391 
2011.03.16,5810 ,8387307 
2011.03.17,5570 ,4358154 
2011.03.18,5460 ,2205734 
2011.03.21,5630 ,1583562 
2011.03.22,5400 ,1125773 
2011.03.23,5230 ,882369 
2011.03.24,5210 ,670909 
2011.03.25,5340 ,1020502 
2011.03.28,5400 ,706492 
2011.03.29,5140 ,899845 
2011.03.30,5170 ,287606 
2011.03.31,5140 ,302760 
2011.04.01,5220 ,338072 
2011.04.04,5230 ,310145 
2011.04.05,5190 ,285905 
2011.04.06,5290 ,468644 
2011.04.07,5330 ,460446 
2011.04.08,5840 ,3029990 
2011.04.11,5840 ,1185172 
2011.04.12,5600 ,517721 
2011.04.13,5560 ,305463 
2011.04.14,5580 ,273782 
2011.04.15,5350 ,408238 
2011.04.18,5290 ,287428 
2011.04.19,5440 ,336492 
2011.04.20,5420 ,304549 
2011.04.21,5520 ,317414 
2011.04.22,5490 ,190341 
2011.04.25,5350 ,218914 
2011.04.26,5150 ,347665 
2011.04.27,5160 ,250730 
2011.04.28,5260 ,188375 
2011.04.29,5120 ,242331 
2011.05.02,5050 ,251058 
2011.05.03,5160 ,295721 
2011.05.04,5150 ,125615 
2011.05.06,4960 ,257500 
2011.05.09,4855 ,219550 
2011.05.11,4825 ,106448 
2011.05.12,4810 ,158185 
2011.05.13,4840 ,259536 
2011.05.16,4930 ,138966 
2011.05.17,5170 ,362723 
2011.05.18,5100 ,98570 
2011.05.19,4900 ,88791 
2011.05.20,4830 ,110779 
2011.05.23,4750 ,123127 
2011.05.24,4720 ,64373 
2011.05.25,4700 ,132667 
2011.05.26,4795 ,163272 
2011.05.27,4785 ,90842 
2011.05.30,4810 ,80951 
2011.05.31,4810 ,79932 
2011.06.01,4845 ,65100 
2011.06.02,4720 ,83712 
2011.06.03,4690 ,97755 
2011.06.07,4485 ,162541 
2011.06.08,4315 ,260694 
2011.06.09,4290 ,125403 
2011.06.10,4150 ,492569 
2011.06.13,4130 ,283976 
2011.06.14,4090 ,257205 
2011.06.15,4090 ,176701 
2011.06.16,4110 ,122676 
2011.06.17,3910 ,318686 
2011.06.20,3885 ,104668 
2011.06.21,3985 ,124296 
2011.06.22,4180 ,194854 
2011.06.23,4190 ,149556 
2011.06.24,4230 ,89674 
2011.06.27,4165 ,62898 
2011.06.28,4090 ,147592 
2011.06.29,4115 ,63835 
2011.06.30,4120 ,93710 
2011.07.01,4225 ,153245 
2011.07.04,4555 ,803894 
2011.07.05,4595 ,178121 
2011.07.06,4590 ,159704 
2011.07.07,4525 ,115541 
2011.07.08,4400 ,172010 
2011.07.11,4330 ,130103 
2011.07.12,4225 ,174261 
2011.07.13,4795 ,933477 
2011.07.14,4620 ,467116 
2011.07.15,4830 ,332487 
2011.07.18,5100 ,403082 
2011.07.19,5120 ,241645 
2011.07.20,5120 ,271526 
2011.07.21,4960 ,243698 
2011.07.22,4950 ,196943 
2011.07.25,4865 ,206791 
2011.07.26,4950 ,124932 
2011.07.27,4970 ,125984 
2011.07.28,4900 ,126159 
2011.07.29,5000 ,166531 
2011.08.01,5190 ,186526 
2011.08.02,5050 ,168183 
2011.08.03,4795 ,196248 
2011.08.04,4700 ,105580 
2011.08.05,4300 ,245664 
2011.08.08,3850 ,534763 
2011.08.09,3510 ,304854 
2011.08.10,3770 ,246507 
2011.08.11,3960 ,158289 
2011.08.12,4015 ,170998 
2011.08.16,4195 ,108453 
2011.08.17,4300 ,105628 
2011.08.18,4245 ,98128 
2011.08.19,4055 ,107133 
2011.08.22,3940 ,87414 
2011.08.23,3945 ,161477 
2011.08.24,3895 ,140692 
2011.08.25,3890 ,138841 
2011.08.26,3945 ,53388 
2011.08.29,4025 ,81638 
2011.08.30,4090 ,47797 
2011.08.31,4100 ,59577 
2011.09.01,4135 ,112654 
2011.09.02,4105 ,60991 
2011.09.05,3900 ,71298 
2011.09.06,3905 ,51106 
2011.09.07,4000 ,37975 
2011.09.08,4100 ,77032 
2011.09.09,4050 ,33866 
2011.09.14,3925 ,48146 
2011.09.15,3995 ,31432 
2011.09.16,4055 ,46654 
2011.09.19,3995 ,35330 
2011.09.20,3965 ,36647 
2011.09.21,3980 ,37180 
2011.09.22,3900 ,56136 
2011.09.23,3640 ,50809 
2011.09.26,3335 ,110659 
2011.09.27,3535 ,98124 
2011.09.28,3600 ,51412 
2011.09.29,3610 ,47253 
2011.09.30,3670 ,52810 
2011.10.04,3435 ,50534 
2011.10.05,3430 ,58404 
2011.10.06,3510 ,61323 
2011.10.07,3680 ,48584 
2011.10.10,3750 ,47863 
2011.10.11,3850 ,51558 
2011.10.12,3930 ,41710 
2011.10.13,4010 ,54290 
2011.10.14,4010 ,38423 
2011.10.17,4050 ,46493 
2011.10.18,4045 ,43602 
2011.10.19,4055 ,40028 
2011.10.20,4025 ,63644 
2011.10.21,4065 ,33648 
2011.10.24,4190 ,81914 
2011.10.25,4150 ,42524 
2011.10.26,4150 ,30633 
2011.10.27,4185 ,40027 
2011.10.28,4155 ,47374 
2011.10.31,4025 ,30402 
2011.11.01,4010 ,38835 
2011.11.02,4100 ,40380 
2011.11.03,4065 ,30726 
2011.11.04,4105 ,47071 
2011.11.07,4140 ,103303 
2011.11.08,4200 ,60812 
2011.11.09,4180 ,44062 
2011.11.10,4050 ,52710 
2011.11.11,4150 ,63089 
2011.11.14,4235 ,97382 
2011.11.15,4170 ,67597 
2011.11.16,4125 ,30885 
2011.11.17,4160 ,27068 
2011.11.18,4260 ,55010 
2011.11.21,4205 ,30560 
2011.11.22,4145 ,68851 
2011.11.23,4110 ,66381 
2011.11.24,4050 ,77209 
2011.11.25,3925 ,89458 
2011.11.28,3880 ,73105 
2011.11.29,4000 ,97422 
2011.11.30,3965 ,32317 
2011.12.01,4035 ,59831 
2011.12.02,4150 ,55480 
2011.12.05,4260 ,89098 
2011.12.06,4200 ,23384 
2011.12.07,4190 ,37077 
2011.12.08,4085 ,82216 
2011.12.09,4075 ,59586 
2011.12.12,4110 ,57969 
2011.12.13,4005 ,52004 
2011.12.14,4070 ,24870 
2011.12.15,3975 ,29676 
2011.12.16,4000 ,35968 
2011.12.19,3680 ,97258 
2011.12.20,3770 ,29972 
2011.12.21,3850 ,27775 
2011.12.22,3880 ,28136 
2011.12.23,3975 ,35255 
2011.12.26,4030 ,42284 
2011.12.27,4020 ,34791 
2011.12.28,4000 ,21465 
2011.12.29,3985 ,13892 
2012.01.02,4000 ,13925 
2012.01.03,3985 ,26885 
2012.01.04,3970 ,33983 
2012.01.05,3970 ,26736 
2012.01.06,3930 ,37279 
2012.01.09,3875 ,17491 
2012.01.10,3910 ,12164 
2012.01.11,3955 ,50932 
2012.01.12,3995 ,48574 
2012.01.13,4050 ,56894 
2012.01.16,3950 ,37066 
2012.01.17,3995 ,30863 
2012.01.18,3975 ,53963 
2012.01.19,3975 ,50503 
2012.01.20,4010 ,55190 
2012.01.25,4030 ,40386 
2012.01.26,4055 ,48085 
2012.01.27,4115 ,87756 
2012.01.30,4025 ,38957 
2012.01.31,4010 ,38928 
2012.02.01,4250 ,176842 
2012.02.02,4215 ,94404 
2012.02.03,4205 ,108534 
2012.02.06,4210 ,96299 
2012.02.07,4210 ,51049 
2012.02.08,4190 ,58288 
2012.02.09,4300 ,96353 
2012.02.10,4300 ,78977 
2012.02.13,4335 ,59502 
2012.02.14,4465 ,117008 
2012.02.15,4480 ,88581 
2012.02.16,4370 ,97642 
2012.02.17,4450 ,56138 
2012.02.20,4465 ,33353 
2012.02.21,4500 ,64447 
2012.02.22,4700 ,202491 
2012.02.23,4710 ,76330 
2012.02.24,4650 ,113092 
2012.02.27,4520 ,64295 
2012.02.28,4500 ,73581 
2012.02.29,4810 ,319053 
2012.03.02,4870 ,175177 
2012.03.05,4715 ,88699 
2012.03.06,4670 ,91097 
2012.03.07,4755 ,76966 
2012.03.08,4905 ,111837 
2012.03.09,4885 ,100735 
2012.03.12,4765 ,83495 
2012.03.13,4820 ,102938 
2012.03.14,4775 ,34743 
2012.03.15,4770 ,68750 
2012.03.16,4705 ,59074 
2012.03.19,4600 ,92233 
2012.03.20,4555 ,76463 
2012.03.21,4545 ,44782 
2012.03.22,4410 ,56800 
2012.03.23,4440 ,50576 
2012.03.26,4520 ,60880 
2012.03.27,4630 ,59945 
2012.03.28,4570 ,16342 
2012.03.29,4600 ,66023 
2012.03.30,4700 ,91517 
2012.04.02,4735 ,100586 
2012.04.03,4700 ,61018 
2012.04.04,4645 ,47359 
2012.04.05,4625 ,19496 
2012.04.06,4605 ,26332 
2012.04.09,4480 ,40526 
2012.04.10,4515 ,24975 
2012.04.12,4495 ,13059 
2012.04.13,4575 ,30945 
2012.04.16,4500 ,26117 
2012.04.17,4355 ,64185 
2012.04.18,4385 ,33699 
2012.04.19,4380 ,21407 
2012.04.20,4350 ,15831 
2012.04.23,4320 ,24893 
2012.04.24,4265 ,36323 
2012.04.25,4235 ,5680 
2012.04.26,4175 ,24374 
2012.04.27,4090 ,28623 
2012.04.30,4065 ,31122 
2012.05.02,4100 ,30964 
2012.05.03,4100 ,24708 
2012.05.04,4100 ,30044 
2012.05.07,4055 ,32635 
2012.05.08,4080 ,12875 
2012.05.09,4050 ,7031 
2012.05.10,4110 ,14625 
2012.05.11,4160 ,110248 
2012.05.14,4030 ,29801 
2012.05.15,3860 ,41191 
2012.05.16,3710 ,40247 
2012.05.17,3705 ,50573 
2012.05.18,3675 ,41357 
2012.05.21,3700 ,46814 
2012.05.22,3750 ,21304 
2012.05.23,3810 ,15634 
2012.05.24,3800 ,13836 
2012.05.25,3790 ,26932 
2012.05.29,3845 ,23255 
2012.05.30,3815 ,31876 
2012.05.31,3745 ,41501 
2012.06.01,3670 ,10616 
2012.06.04,3500 ,54971 
2012.06.05,3500 ,27159 
2012.06.07,3535 ,25615 
2012.06.08,3485 ,39951 
2012.06.11,3550 ,18558 
2012.06.12,3540 ,16971 
2012.06.13,3620 ,105948 
2012.06.14,3650 ,11179 
2012.06.15,3630 ,15782 
2012.06.18,3675 ,21395 
2012.06.19,3700 ,19116 
2012.06.20,3690 ,17772 
2012.06.21,3690 ,22229 
2012.06.22,3635 ,10724 
2012.06.25,3620 ,26045 
2012.06.26,3560 ,20793 
